txn_id,timestamp,feature,merchant,instrument,amount_inr,status,customer_id,description
AP00000013,2026-05-03T23:41:34Z,Coupons & Promo Codes,Vodafone,NETBANKING,567.15,SUCCESS,CUST662041,Amazon Pay - Coupons & Promo Codes via Vodafone
AP00000014,2026-02-02T11:06:38Z,Gift Cards,Cleartrip,AMAZON_PAY_UPI,3335.33,PENDING,CUST630938,Amazon Pay - Gift Cards via Cleartrip
AP00000015,2026-03-06T05:01:12Z,Merchant Settlements,Tata 1mg,CARD_TOKEN,8116.43,REVERSED,CUST851782,Amazon Pay - Merchant Settlements via Tata 1mg
AP00000016,2026-02-20T23:48:20Z,Refund Processing,ACT Fibernet,AMAZON_PAY_WALLET,2376.63,FAILED,CUST692177,Amazon Pay - Refund Processing via ACT Fibernet
AP00000017,2026-05-12T15:51:00Z,Transaction History,MakeMyTrip,AMAZON_PAY_UPI,6534.33,REFUNDED,CUST187466,Amazon Pay - Transaction History via MakeMyTrip
AP00000018,2026-05-08T15:04:34Z,KYC Verification,Swiggy,CARD_TOKEN,8543.6,SUCCESS,CUST595187,Amazon Pay - KYC Verification via Swiggy
AP00000019,2026-02-18T15:41:44Z,Fraud Detection,Tata Power,AMAZON_PAY_WALLET,6534.6,FAILED,CUST253091,Amazon Pay - Fraud Detection via Tata Power
AP00000020,2026-04-15T20:45:44Z,PIN & Biometric Authentication,Zomato,AMAZON_PAY_UPI,8404.5,REVERSED,CUST253697,Amazon Pay - PIN & Biometric Authentication via Zomato
AP00000021,2026-02-08T10:14:44Z,Strong Customer Authentication,BWSSB,AMAZON_PAY_UPI,2865.53,REVERSED,CUST125079,Amazon Pay - Strong Customer Authentication via BWSSB
AP00000022,2026-04-12T18:56:56Z,Multi-Currency Support,Bescom,EMI,1579.8,REFUNDED,CUST244988,Amazon Pay - Multi-Currency Support via Bescom
AP00000023,2026-04-19T08:49:18Z,Cross-Border Payments,Bescom,AMAZON_PAY_UPI,5547.42,PENDING,CUST560147,Amazon Pay - Cross-Border Payments via Bescom
AP00000024,2026-02-07T09:04:59Z,QR Code Payments,Airtel,AMAZON_PAY_UPI,9439.58,FAILED,CUST957039,Amazon Pay - QR Code Payments via Airtel
AP00000025,2026-04-21T06:08:51Z,NFC Tap-to-Pay,RedBus,EMI,2984.54,PENDING,CUST329174,Amazon Pay - NFC Tap-to-Pay via RedBus
AP00000026,2026-01-05T21:48:00Z,Voice Payments,Swiggy,CARD_TOKEN,608.48,FAILED,CUST678680,Amazon Pay - Voice Payments via Swiggy
AP00000027,2026-03-14T14:47:28Z,Smart Connect Express Checkout,MakeMyTrip,AMAZON_PAY_UPI,4326.85,FAILED,CUST430786,Amazon Pay - Smart Connect Express Checkout via MakeMyTrip
AP00000028,2026-02-15T09:51:27Z,Saved Payment Instruments,Cleartrip,CARD_TOKEN,9317.07,SUCCESS,CUST704223,Amazon Pay - Saved Payment Instruments via Cleartrip
AP00000029,2026-05-23T03:37:37Z,Shipping Address Book,EatSure,NETBANKING,7444.97,REVERSED,CUST261834,Amazon Pay - Shipping Address Book via EatSure
AP00000030,2026-05-06T18:45:45Z,Order Tracking Integration,EatSure,AMAZON_PAY_WALLET,110.53,REVERSED,CUST714337,Amazon Pay - Order Tracking Integration via EatSure
AP00000031,2026-05-13T23:12:28Z,Loyalty Program Integration,Jio,NETBANKING,3795.17,PENDING,CUST495268,Amazon Pay - Loyalty Program Integration via Jio
AP00000032,2026-02-04T16:51:40Z,Charity Donations,Domino's,EMI,6634.01,REVERSED,CUST421738,Amazon Pay - Charity Donations via Domino's
AP00000033,2026-02-13T19:38:28Z,Tax Invoice Download,BWSSB,NETBANKING,2527.28,REFUNDED,CUST472991,Amazon Pay - Tax Invoice Download via BWSSB
AP00000034,2026-02-27T12:54:18Z,Customer Support Chat,Indigo,NETBANKING,882.33,PENDING,CUST180662,Amazon Pay - Customer Support Chat via Indigo
AP00000035,2026-05-11T07:56:02Z,Dispute Resolution,RedBus,AMAZON_PAY_WALLET,7558.24,REFUNDED,CUST524467,Amazon Pay - Dispute Resolution via RedBus
AP00000036,2026-02-04T21:26:10Z,Subscription AutoPay,MakeMyTrip,EMI,8295.04,REFUNDED,CUST744334,Amazon Pay - Subscription AutoPay via MakeMyTrip
AP00000037,2026-04-28T23:50:11Z,Split Bills,Airtel,EMI,2051.78,REVERSED,CUST962840,Amazon Pay - Split Bills via Airtel
AP00000038,2026-01-27T08:12:44Z,Invoice / Request Money,BWSSB,CARD_TOKEN,1411.68,SUCCESS,CUST744626,Amazon Pay - Invoice / Request Money via BWSSB
AP00000039,2026-02-15T06:15:21Z,Merchant Onboarding,Bescom,NETBANKING,6478.26,REVERSED,CUST218134,Amazon Pay - Merchant Onboarding via Bescom
AP00000040,2026-05-06T05:11:58Z,Risk-Based Step-Up,Tata Power,NETBANKING,85.16,REVERSED,CUST753350,Amazon Pay - Risk-Based Step-Up via Tata Power
AP00000041,2026-03-26T22:05:03Z,Device Binding,Tata Power,AMAZON_PAY_UPI,9339.45,REFUNDED,CUST448049,Amazon Pay - Device Binding via Tata Power
AP00000042,2026-05-05T11:54:18Z,Velocity Controls,Jio,CARD_TOKEN,3190.06,REVERSED,CUST250228,Amazon Pay - Velocity Controls via Jio
AP00000043,2026-02-23T09:52:03Z,Refund SLA Tracking,Indigo,AMAZON_PAY_UPI,3800.16,PENDING,CUST816246,Amazon Pay - Refund SLA Tracking via Indigo
AP00000044,2026-01-27T03:32:06Z,Reconciliation Reports,Practo,AMAZON_PAY_UPI,9156.31,REVERSED,CUST152257,Amazon Pay - Reconciliation Reports via Practo
AP00000045,2026-02-23T17:47:21Z,Webhooks & Events,Zomato,NETBANKING,8875.64,FAILED,CUST895870,Amazon Pay - Webhooks & Events via Zomato
AP00000046,2026-03-04T14:22:46Z,API Rate Limits,MakeMyTrip,AMAZON_PAY_WALLET,5145.0,FAILED,CUST182512,Amazon Pay - API Rate Limits via MakeMyTrip
AP00000047,2026-01-15T21:18:38Z,Sandbox Environment,Jio,NETBANKING,4532.45,SUCCESS,CUST838633,Amazon Pay - Sandbox Environment via Jio
AP00000048,2026-02-21T23:02:46Z,Compliance Reporting,Tata Power,NETBANKING,5095.51,SUCCESS,CUST615204,Amazon Pay - Compliance Reporting via Tata Power
AP00000049,2026-02-27T13:04:59Z,PCI-DSS Tokenization,Swiggy,AMAZON_PAY_WALLET,8010.91,PENDING,CUST780939,Amazon Pay - PCI-DSS Tokenization via Swiggy
AP00000050,2026-02-28T10:35:09Z,One-Click Checkout,Domino's,CARD_TOKEN,590.94,REFUNDED,CUST858794,Amazon Pay - One-Click Checkout via Domino's
AP00000051,2026-02-12T05:22:11Z,Buy Now Pay Later,ACT Fibernet,NETBANKING,8811.2,REVERSED,CUST715155,Amazon Pay - Buy Now Pay Later via ACT Fibernet
AP00000052,2026-02-17T13:16:26Z,UPI Payments,Zomato,EMI,7459.52,SUCCESS,CUST853234,Amazon Pay - UPI Payments via Zomato
AP00000053,2026-02-18T16:41:27Z,Recurring Payments,Domino's,NETBANKING,6876.85,FAILED,CUST865020,Amazon Pay - Recurring Payments via Domino's
AP00000054,2026-04-13T20:09:35Z,Amazon Pay Wallet,Vodafone,EMI,5187.42,SUCCESS,CUST165124,Amazon Pay - Amazon Pay Wallet via Vodafone
AP00000055,2026-02-22T23:30:53Z,Send Money to Contacts,Swiggy,EMI,2680.89,REVERSED,CUST845436,Amazon Pay - Send Money to Contacts via Swiggy
AP00000056,2026-05-17T16:05:28Z,Bill Payments,Tata Power,AMAZON_PAY_UPI,421.72,SUCCESS,CUST167516,Amazon Pay - Bill Payments via Tata Power
AP00000057,2026-04-23T15:03:03Z,Mobile Recharge,MakeMyTrip,AMAZON_PAY_WALLET,1156.59,SUCCESS,CUST265500,Amazon Pay - Mobile Recharge via MakeMyTrip
AP00000058,2026-03-20T11:44:07Z,DTH Recharge,MakeMyTrip,AMAZON_PAY_WALLET,2047.65,PENDING,CUST638484,Amazon Pay - DTH Recharge via MakeMyTrip
AP00000059,2026-04-13T03:34:35Z,Insurance Premium Payments,Practo,AMAZON_PAY_WALLET,662.1,REFUNDED,CUST163808,Amazon Pay - Insurance Premium Payments via Practo
AP00000060,2026-04-19T14:28:42Z,Credit Card Bill Payments,BWSSB,AMAZON_PAY_UPI,2746.26,SUCCESS,CUST485096,Amazon Pay - Credit Card Bill Payments via BWSSB
AP00000061,2026-02-11T04:00:37Z,EMI Auto-Debit,Indigo,CARD_TOKEN,672.91,REVERSED,CUST796511,Amazon Pay - EMI Auto-Debit via Indigo
AP00000062,2026-04-21T20:27:17Z,Rewards & Cashback,Airtel,CARD_TOKEN,7719.4,FAILED,CUST374417,Amazon Pay - Rewards & Cashback via Airtel
AP00000063,2026-03-26T05:02:22Z,Coupons & Promo Codes,EatSure,EMI,4472.51,SUCCESS,CUST868532,Amazon Pay - Coupons & Promo Codes via EatSure
AP00000064,2026-03-15T16:43:36Z,Gift Cards,Zomato,NETBANKING,5126.14,REVERSED,CUST698766,Amazon Pay - Gift Cards via Zomato
AP00000065,2026-04-14T15:22:54Z,Merchant Settlements,Airtel,AMAZON_PAY_UPI,286.98,FAILED,CUST645223,Amazon Pay - Merchant Settlements via Airtel
AP00000066,2026-03-05T14:57:10Z,Refund Processing,BigBasket,EMI,7705.82,REFUNDED,CUST108615,Amazon Pay - Refund Processing via BigBasket
AP00000067,2026-04-05T13:14:03Z,Transaction History,Vodafone,NETBANKING,5690.33,PENDING,CUST722503,Amazon Pay - Transaction History via Vodafone
AP00000068,2026-05-13T08:10:56Z,KYC Verification,Uber,NETBANKING,4931.11,FAILED,CUST404808,Amazon Pay - KYC Verification via Uber
AP00000069,2026-04-05T02:01:36Z,Fraud Detection,Airtel,CARD_TOKEN,618.4,PENDING,CUST304925,Amazon Pay - Fraud Detection via Airtel
AP00000070,2026-03-05T21:05:27Z,PIN & Biometric Authentication,MakeMyTrip,CARD_TOKEN,9488.07,REVERSED,CUST199290,Amazon Pay - PIN & Biometric Authentication via MakeMyTrip
AP00000071,2026-02-03T11:49:22Z,Strong Customer Authentication,Swiggy,EMI,8303.58,PENDING,CUST331263,Amazon Pay - Strong Customer Authentication via Swiggy
AP00000072,2026-05-22T08:58:52Z,Multi-Currency Support,RedBus,EMI,1360.34,PENDING,CUST768905,Amazon Pay - Multi-Currency Support via RedBus
AP00000073,2026-04-08T18:17:49Z,Cross-Border Payments,ACT Fibernet,AMAZON_PAY_UPI,4625.37,SUCCESS,CUST928512,Amazon Pay - Cross-Border Payments via ACT Fibernet
AP00000074,2026-05-11T16:21:35Z,QR Code Payments,Zomato,NETBANKING,9328.37,SUCCESS,CUST148370,Amazon Pay - QR Code Payments via Zomato
AP00000075,2026-04-18T06:38:45Z,NFC Tap-to-Pay,Indigo,EMI,704.96,SUCCESS,CUST392084,Amazon Pay - NFC Tap-to-Pay via Indigo
AP00000076,2026-01-23T09:25:59Z,Voice Payments,BWSSB,EMI,7980.29,FAILED,CUST437503,Amazon Pay - Voice Payments via BWSSB
AP00000077,2026-04-01T17:38:00Z,Smart Connect Express Checkout,MakeMyTrip,NETBANKING,5826.78,SUCCESS,CUST485699,Amazon Pay - Smart Connect Express Checkout via MakeMyTrip
AP00000078,2026-03-08T06:51:45Z,Saved Payment Instruments,Indigo,EMI,2537.39,SUCCESS,CUST567333,Amazon Pay - Saved Payment Instruments via Indigo
AP00000079,2026-03-18T15:04:01Z,Shipping Address Book,Swiggy,NETBANKING,5653.66,PENDING,CUST554611,Amazon Pay - Shipping Address Book via Swiggy
AP00000080,2026-04-02T21:08:00Z,Order Tracking Integration,Practo,NETBANKING,2426.13,FAILED,CUST309936,Amazon Pay - Order Tracking Integration via Practo
AP00000081,2026-01-05T13:17:58Z,Loyalty Program Integration,Bescom,EMI,2754.37,REFUNDED,CUST776537,Amazon Pay - Loyalty Program Integration via Bescom
AP00000082,2026-01-08T17:00:46Z,Charity Donations,Zomato,EMI,1142.77,PENDING,CUST453343,Amazon Pay - Charity Donations via Zomato
AP00000083,2026-03-23T12:39:20Z,Tax Invoice Download,Cleartrip,AMAZON_PAY_UPI,1634.0,REVERSED,CUST427316,Amazon Pay - Tax Invoice Download via Cleartrip
AP00000084,2026-04-02T12:17:22Z,Customer Support Chat,Swiggy,AMAZON_PAY_UPI,553.04,REFUNDED,CUST947631,Amazon Pay - Customer Support Chat via Swiggy
AP00000085,2026-04-07T01:21:30Z,Dispute Resolution,Airtel,AMAZON_PAY_UPI,2704.64,FAILED,CUST676293,Amazon Pay - Dispute Resolution via Airtel
AP00000086,2026-01-15T13:56:14Z,Subscription AutoPay,Bescom,NETBANKING,3287.81,REVERSED,CUST159373,Amazon Pay - Subscription AutoPay via Bescom
AP00000087,2026-04-26T18:38:28Z,Split Bills,Practo,AMAZON_PAY_UPI,7003.88,SUCCESS,CUST409081,Amazon Pay - Split Bills via Practo
AP00000088,2026-02-19T05:28:46Z,Invoice / Request Money,Tata Power,AMAZON_PAY_UPI,8819.56,SUCCESS,CUST238950,Amazon Pay - Invoice / Request Money via Tata Power
AP00000089,2026-03-16T05:37:56Z,Merchant Onboarding,Swiggy,CARD_TOKEN,7629.13,REFUNDED,CUST355228,Amazon Pay - Merchant Onboarding via Swiggy
AP00000090,2026-04-25T14:37:06Z,Risk-Based Step-Up,Vodafone,EMI,6704.88,PENDING,CUST312865,Amazon Pay - Risk-Based Step-Up via Vodafone
AP00000091,2026-05-15T17:55:39Z,Device Binding,BigBasket,NETBANKING,2373.88,REFUNDED,CUST334589,Amazon Pay - Device Binding via BigBasket
AP00000092,2026-01-26T01:50:18Z,Velocity Controls,EatSure,AMAZON_PAY_WALLET,4412.96,REVERSED,CUST618129,Amazon Pay - Velocity Controls via EatSure
AP00000093,2026-05-09T00:12:15Z,Refund SLA Tracking,Swiggy,AMAZON_PAY_WALLET,8622.04,REVERSED,CUST760174,Amazon Pay - Refund SLA Tracking via Swiggy
AP00000094,2026-03-23T04:41:08Z,Reconciliation Reports,Airtel,NETBANKING,4832.34,PENDING,CUST770000,Amazon Pay - Reconciliation Reports via Airtel
AP00000095,2026-01-15T16:41:08Z,Webhooks & Events,Tata 1mg,NETBANKING,2843.28,REVERSED,CUST938948,Amazon Pay - Webhooks & Events via Tata 1mg
AP00000096,2026-04-17T03:48:49Z,API Rate Limits,Uber,CARD_TOKEN,2831.15,SUCCESS,CUST144721,Amazon Pay - API Rate Limits via Uber
AP00000097,2026-01-15T06:25:51Z,Sandbox Environment,Jio,CARD_TOKEN,6192.33,REFUNDED,CUST951309,Amazon Pay - Sandbox Environment via Jio
AP00000098,2026-05-09T13:41:40Z,Compliance Reporting,Swiggy,CARD_TOKEN,3231.04,FAILED,CUST983313,Amazon Pay - Compliance Reporting via Swiggy
AP00000099,2026-01-10T20:22:26Z,PCI-DSS Tokenization,Zomato,EMI,4336.92,REFUNDED,CUST121715,Amazon Pay - PCI-DSS Tokenization via Zomato
AP00000100,2026-02-22T18:29:05Z,One-Click Checkout,Domino's,NETBANKING,5286.14,PENDING,CUST897692,Amazon Pay - One-Click Checkout via Domino's
AP00000101,2026-02-11T13:54:19Z,Buy Now Pay Later,BigBasket,EMI,5864.62,SUCCESS,CUST619596,Amazon Pay - Buy Now Pay Later via BigBasket
AP00000102,2026-04-20T01:36:05Z,UPI Payments,Jio,AMAZON_PAY_WALLET,1194.81,PENDING,CUST363148,Amazon Pay - UPI Payments via Jio
AP00000103,2026-01-19T00:28:50Z,Recurring Payments,BWSSB,CARD_TOKEN,6233.79,FAILED,CUST713614,Amazon Pay - Recurring Payments via BWSSB
AP00000104,2026-05-18T17:27:46Z,Amazon Pay Wallet,Practo,EMI,2772.77,FAILED,CUST271489,Amazon Pay - Amazon Pay Wallet via Practo
AP00000105,2026-03-19T07:09:23Z,Send Money to Contacts,Bescom,AMAZON_PAY_UPI,8611.65,REVERSED,CUST980739,Amazon Pay - Send Money to Contacts via Bescom
AP00000106,2026-04-27T00:24:40Z,Bill Payments,Indigo,NETBANKING,1184.43,REFUNDED,CUST901514,Amazon Pay - Bill Payments via Indigo
AP00000107,2026-01-23T20:44:36Z,Mobile Recharge,Airtel,CARD_TOKEN,6059.99,FAILED,CUST732236,Amazon Pay - Mobile Recharge via Airtel
AP00000108,2026-02-12T02:33:26Z,DTH Recharge,Bookmyshow,CARD_TOKEN,8720.97,SUCCESS,CUST262051,Amazon Pay - DTH Recharge via Bookmyshow
AP00000109,2026-02-07T14:15:06Z,Insurance Premium Payments,Bookmyshow,CARD_TOKEN,9110.92,REFUNDED,CUST262574,Amazon Pay - Insurance Premium Payments via Bookmyshow
AP00000110,2026-01-10T23:41:41Z,Credit Card Bill Payments,MakeMyTrip,NETBANKING,2340.28,SUCCESS,CUST740770,Amazon Pay - Credit Card Bill Payments via MakeMyTrip
AP00000111,2026-03-09T22:39:19Z,EMI Auto-Debit,Cleartrip,NETBANKING,1783.58,FAILED,CUST213922,Amazon Pay - EMI Auto-Debit via Cleartrip
AP00000112,2026-04-16T08:17:53Z,Rewards & Cashback,Swiggy,CARD_TOKEN,7640.48,PENDING,CUST928538,Amazon Pay - Rewards & Cashback via Swiggy
AP00000113,2026-04-16T19:47:53Z,Coupons & Promo Codes,Swiggy,NETBANKING,8698.38,FAILED,CUST383049,Amazon Pay - Coupons & Promo Codes via Swiggy
AP00000114,2026-04-10T10:44:52Z,Gift Cards,Tata 1mg,AMAZON_PAY_UPI,7843.39,REFUNDED,CUST739437,Amazon Pay - Gift Cards via Tata 1mg
AP00000115,2026-01-02T19:24:14Z,Merchant Settlements,Bookmyshow,AMAZON_PAY_WALLET,8584.1,SUCCESS,CUST480582,Amazon Pay - Merchant Settlements via Bookmyshow
AP00000116,2026-04-15T17:48:54Z,Refund Processing,Uber,NETBANKING,8028.39,PENDING,CUST978486,Amazon Pay - Refund Processing via Uber
AP00000117,2026-05-16T02:10:07Z,Transaction History,Tata 1mg,CARD_TOKEN,5497.74,REVERSED,CUST271061,Amazon Pay - Transaction History via Tata 1mg
AP00000118,2026-05-27T20:53:23Z,KYC Verification,MakeMyTrip,AMAZON_PAY_WALLET,132.52,REVERSED,CUST915425,Amazon Pay - KYC Verification via MakeMyTrip
AP00000119,2026-04-08T02:47:21Z,Fraud Detection,Bookmyshow,EMI,229.98,PENDING,CUST850835,Amazon Pay - Fraud Detection via Bookmyshow
AP00000120,2026-04-15T13:00:43Z,PIN & Biometric Authentication,RedBus,CARD_TOKEN,7397.14,FAILED,CUST483199,Amazon Pay - PIN & Biometric Authentication via RedBus
AP00000121,2026-02-03T03:03:44Z,Strong Customer Authentication,Swiggy,CARD_TOKEN,7463.34,PENDING,CUST598048,Amazon Pay - Strong Customer Authentication via Swiggy
AP00000122,2026-04-21T10:01:22Z,Multi-Currency Support,Jio,EMI,7389.59,SUCCESS,CUST714629,Amazon Pay - Multi-Currency Support via Jio
AP00000123,2026-04-12T19:48:30Z,Cross-Border Payments,Cleartrip,NETBANKING,455.63,FAILED,CUST265002,Amazon Pay - Cross-Border Payments via Cleartrip
AP00000124,2026-04-12T01:01:45Z,QR Code Payments,Tata Power,AMAZON_PAY_WALLET,5837.44,FAILED,CUST590390,Amazon Pay - QR Code Payments via Tata Power
AP00000125,2026-04-10T20:28:04Z,NFC Tap-to-Pay,Jio,NETBANKING,6335.04,PENDING,CUST577177,Amazon Pay - NFC Tap-to-Pay via Jio
AP00000126,2026-05-11T02:39:44Z,Voice Payments,EatSure,CARD_TOKEN,5695.65,SUCCESS,CUST708938,Amazon Pay - Voice Payments via EatSure
AP00000127,2026-01-10T03:34:38Z,Smart Connect Express Checkout,Bescom,AMAZON_PAY_UPI,2739.15,REVERSED,CUST805495,Amazon Pay - Smart Connect Express Checkout via Bescom
AP00000128,2026-05-11T22:30:29Z,Saved Payment Instruments,Bescom,NETBANKING,2806.11,REVERSED,CUST556517,Amazon Pay - Saved Payment Instruments via Bescom
AP00000129,2026-01-12T23:05:37Z,Shipping Address Book,Jio,NETBANKING,3750.55,PENDING,CUST283766,Amazon Pay - Shipping Address Book via Jio
AP00000130,2026-02-11T23:21:50Z,Order Tracking Integration,Swiggy,AMAZON_PAY_UPI,7530.84,REVERSED,CUST820846,Amazon Pay - Order Tracking Integration via Swiggy
AP00000131,2026-03-09T22:28:03Z,Loyalty Program Integration,BigBasket,NETBANKING,3257.48,PENDING,CUST964633,Amazon Pay - Loyalty Program Integration via BigBasket
AP00000132,2026-05-23T09:22:33Z,Charity Donations,EatSure,EMI,1277.71,REVERSED,CUST896100,Amazon Pay - Charity Donations via EatSure
AP00000133,2026-04-23T20:17:36Z,Tax Invoice Download,MakeMyTrip,NETBANKING,122.87,REVERSED,CUST465850,Amazon Pay - Tax Invoice Download via MakeMyTrip
AP00000134,2026-03-23T10:05:16Z,Customer Support Chat,BigBasket,AMAZON_PAY_UPI,769.62,FAILED,CUST756949,Amazon Pay - Customer Support Chat via BigBasket
AP00000135,2026-03-24T11:27:07Z,Dispute Resolution,Indigo,AMAZON_PAY_UPI,6373.58,REFUNDED,CUST375157,Amazon Pay - Dispute Resolution via Indigo
AP00000136,2026-03-02T11:50:51Z,Subscription AutoPay,RedBus,NETBANKING,6063.02,REVERSED,CUST327940,Amazon Pay - Subscription AutoPay via RedBus
AP00000137,2026-05-04T14:57:13Z,Split Bills,Indigo,AMAZON_PAY_WALLET,4378.03,SUCCESS,CUST629607,Amazon Pay - Split Bills via Indigo
AP00000138,2026-05-08T09:59:06Z,Invoice / Request Money,Bescom,EMI,9307.2,REFUNDED,CUST210149,Amazon Pay - Invoice / Request Money via Bescom
AP00000139,2026-02-01T06:58:33Z,Merchant Onboarding,Swiggy,EMI,6792.11,REFUNDED,CUST135906,Amazon Pay - Merchant Onboarding via Swiggy
AP00000140,2026-04-03T04:44:59Z,Risk-Based Step-Up,Tata 1mg,CARD_TOKEN,3877.79,PENDING,CUST845956,Amazon Pay - Risk-Based Step-Up via Tata 1mg
AP00000141,2026-02-28T23:12:59Z,Device Binding,Zomato,EMI,8817.4,REFUNDED,CUST829653,Amazon Pay - Device Binding via Zomato
AP00000142,2026-03-15T05:25:50Z,Velocity Controls,RedBus,CARD_TOKEN,6252.12,REVERSED,CUST481120,Amazon Pay - Velocity Controls via RedBus
AP00000143,2026-01-05T08:38:46Z,Refund SLA Tracking,Vodafone,AMAZON_PAY_WALLET,2253.47,FAILED,CUST182393,Amazon Pay - Refund SLA Tracking via Vodafone
AP00000144,2026-01-23T01:45:44Z,Reconciliation Reports,EatSure,CARD_TOKEN,3486.2,SUCCESS,CUST999983,Amazon Pay - Reconciliation Reports via EatSure
AP00000145,2026-04-20T22:26:05Z,Webhooks & Events,ACT Fibernet,AMAZON_PAY_WALLET,1474.19,PENDING,CUST730335,Amazon Pay - Webhooks & Events via ACT Fibernet
AP00000146,2026-03-08T12:07:48Z,API Rate Limits,Tata Power,NETBANKING,8259.36,REVERSED,CUST213029,Amazon Pay - API Rate Limits via Tata Power
AP00000147,2026-05-23T02:57:37Z,Sandbox Environment,Bescom,NETBANKING,1114.6,REFUNDED,CUST368846,Amazon Pay - Sandbox Environment via Bescom
AP00000148,2026-01-02T01:04:20Z,Compliance Reporting,MakeMyTrip,AMAZON_PAY_WALLET,1224.26,FAILED,CUST471102,Amazon Pay - Compliance Reporting via MakeMyTrip
AP00000149,2026-03-15T00:31:08Z,PCI-DSS Tokenization,BWSSB,EMI,4934.57,SUCCESS,CUST925466,Amazon Pay - PCI-DSS Tokenization via BWSSB
AP00000150,2026-05-15T14:39:59Z,One-Click Checkout,Jio,NETBANKING,2517.22,SUCCESS,CUST501258,Amazon Pay - One-Click Checkout via Jio
AP00000151,2026-01-21T02:08:06Z,Buy Now Pay Later,Cleartrip,CARD_TOKEN,2451.99,FAILED,CUST999941,Amazon Pay - Buy Now Pay Later via Cleartrip
AP00000152,2026-01-25T16:56:19Z,UPI Payments,Zomato,AMAZON_PAY_UPI,402.46,REFUNDED,CUST735587,Amazon Pay - UPI Payments via Zomato
AP00000153,2026-01-05T21:21:45Z,Recurring Payments,Bookmyshow,AMAZON_PAY_UPI,2071.66,REVERSED,CUST185663,Amazon Pay - Recurring Payments via Bookmyshow
AP00000154,2026-01-04T01:29:09Z,Amazon Pay Wallet,Practo,NETBANKING,224.89,SUCCESS,CUST468478,Amazon Pay - Amazon Pay Wallet via Practo
AP00000155,2026-03-07T11:15:05Z,Send Money to Contacts,Practo,EMI,9625.04,FAILED,CUST169469,Amazon Pay - Send Money to Contacts via Practo
AP00000156,2026-01-16T22:53:36Z,Bill Payments,BigBasket,AMAZON_PAY_UPI,2676.95,REFUNDED,CUST596180,Amazon Pay - Bill Payments via BigBasket
AP00000157,2026-03-08T17:49:00Z,Mobile Recharge,EatSure,EMI,609.47,REFUNDED,CUST886824,Amazon Pay - Mobile Recharge via EatSure
AP00000158,2026-01-05T14:00:57Z,DTH Recharge,Swiggy,AMAZON_PAY_UPI,6784.31,REVERSED,CUST845910,Amazon Pay - DTH Recharge via Swiggy
AP00000159,2026-05-08T11:19:26Z,Insurance Premium Payments,Domino's,AMAZON_PAY_UPI,1949.92,SUCCESS,CUST777963,Amazon Pay - Insurance Premium Payments via Domino's
AP00000160,2026-02-10T11:33:46Z,Credit Card Bill Payments,Bookmyshow,EMI,8670.9,PENDING,CUST642499,Amazon Pay - Credit Card Bill Payments via Bookmyshow
AP00000161,2026-02-01T18:09:50Z,EMI Auto-Debit,Practo,EMI,6932.18,SUCCESS,CUST730049,Amazon Pay - EMI Auto-Debit via Practo
