TxnID,CustomerID,Amount,Currency,Status,Region,Method,CreatedAt
TXN-0000019,CUST-52242,4584.24,BRL,Authorized,JP,SEPA,2024-01-01T00:23:07Z
TXN-0000020,CUST-53644,2748.09,GBP,Declined,UK,UPI,2024-01-01T00:24:20Z
TXN-0000021,CUST-48024,3414.24,AUD,Captured,JP,MasterCard,2024-01-01T00:25:33Z
TXN-0000022,CUST-24097,758.18,JPY,Authorized,BR,Amex,2024-01-01T00:26:46Z
TXN-0000023,CUST-35438,1411.08,GBP,Declined,CA,BankTransfer,2024-01-01T00:27:59Z
TXN-0000024,CUST-17448,3453.08,USD,Declined,AU,UPI,2024-01-01T00:29:12Z
TXN-0000025,CUST-53294,1971.80,BRL,Declined,US,Wallet,2024-01-01T00:30:25Z
TXN-0000026,CUST-9827,4923.36,BRL,Captured,EU,BankTransfer,2024-01-01T00:31:38Z
TXN-0000027,CUST-79738,264.76,USD,Voided,JP,MasterCard,2024-01-01T00:32:51Z
TXN-0000028,CUST-48659,3069.45,EUR,Captured,AU,Amex,2024-01-01T00:34:04Z
TXN-0000029,CUST-84153,1262.77,CAD,Voided,CA,SEPA,2024-01-01T00:35:17Z
TXN-0000030,CUST-17101,578.53,BRL,Declined,BR,SEPA,2024-01-01T00:36:30Z
TXN-0000031,CUST-41875,431.24,EUR,Refunded,UK,SEPA,2024-01-01T00:37:43Z
TXN-0000032,CUST-91709,808.86,USD,Captured,CA,Amex,2024-01-01T00:38:56Z
TXN-0000033,CUST-91448,2716.77,USD,Voided,UK,MasterCard,2024-01-01T00:40:09Z
TXN-0000034,CUST-92251,4227.54,CAD,Captured,CA,Wallet,2024-01-01T00:41:22Z
TXN-0000035,CUST-70807,2708.74,CAD,Captured,IN,Wallet,2024-01-01T00:42:35Z
TXN-0000036,CUST-53518,3699.88,JPY,Captured,BR,BankTransfer,2024-01-01T00:43:48Z
TXN-0000037,CUST-96814,146.83,USD,Refunded,BR,GiftCard,2024-01-01T00:45:01Z
TXN-0000038,CUST-26381,3463.21,CAD,Declined,CA,BankTransfer,2024-01-01T00:46:14Z
TXN-0000039,CUST-11556,1103.86,JPY,Declined,IN,BankTransfer,2024-01-01T00:47:27Z
TXN-0000040,CUST-27787,2414.29,USD,Declined,CA,MasterCard,2024-01-01T00:48:40Z
TXN-0000041,CUST-87584,601.27,AUD,Captured,BR,Amex,2024-01-01T00:49:53Z
TXN-0000042,CUST-57875,3946.09,CAD,Authorized,AU,SEPA,2024-01-01T00:51:06Z
TXN-0000043,CUST-53610,3717.27,EUR,Captured,JP,Amex,2024-01-01T00:52:19Z
TXN-0000044,CUST-4610,757.44,BRL,Captured,BR,BankTransfer,2024-01-01T00:53:32Z
TXN-0000045,CUST-21435,2744.19,GBP,Authorized,US,MasterCard,2024-01-01T00:54:45Z
TXN-0000046,CUST-70020,3747.97,GBP,Declined,IN,Wallet,2024-01-01T00:55:58Z
TXN-0000047,CUST-4669,1260.66,INR,Voided,IN,BankTransfer,2024-01-01T00:57:11Z
TXN-0000048,CUST-34995,2722.67,GBP,Authorized,CA,SEPA,2024-01-01T00:58:24Z
TXN-0000049,CUST-87831,2917.57,AUD,Voided,JP,Amex,2024-01-01T00:59:37Z
TXN-0000050,CUST-69617,2553.70,BRL,Captured,US,Amex,2024-01-01T01:00:50Z
TXN-0000051,CUST-23589,709.50,EUR,Voided,US,BankTransfer,2024-01-01T01:02:03Z
TXN-0000052,CUST-90434,2592.70,BRL,Authorized,US,Wallet,2024-01-01T01:03:16Z
TXN-0000053,CUST-26074,1386.02,EUR,Voided,BR,Visa,2024-01-01T01:04:29Z
TXN-0000054,CUST-9305,2217.35,JPY,Refunded,BR,SEPA,2024-01-01T01:05:42Z
TXN-0000055,CUST-67552,4707.61,INR,Voided,IN,SEPA,2024-01-01T01:06:55Z
TXN-0000056,CUST-18974,2084.34,AUD,Declined,CA,MasterCard,2024-01-01T01:08:08Z
TXN-0000057,CUST-88969,1204.70,EUR,Captured,UK,MasterCard,2024-01-01T01:09:21Z
TXN-0000058,CUST-21243,4697.63,CAD,Captured,UK,Amex,2024-01-01T01:10:34Z
TXN-0000059,CUST-62307,1099.49,EUR,Declined,BR,Amex,2024-01-01T01:11:47Z
TXN-0000060,CUST-88534,4162.55,GBP,Declined,AU,BankTransfer,2024-01-01T01:13:00Z
TXN-0000061,CUST-56217,980.32,CAD,Authorized,CA,Visa,2024-01-01T01:14:13Z
TXN-0000062,CUST-45299,2771.13,BRL,Authorized,AU,BankTransfer,2024-01-01T01:15:26Z
TXN-0000063,CUST-68821,3120.38,EUR,Authorized,IN,MasterCard,2024-01-01T01:16:39Z
TXN-0000064,CUST-12018,1329.28,USD,Captured,UK,Amex,2024-01-01T01:17:52Z
TXN-0000065,CUST-56345,4248.23,INR,Declined,JP,SEPA,2024-01-01T01:19:05Z
TXN-0000066,CUST-92805,1636.58,INR,Authorized,JP,UPI,2024-01-01T01:20:18Z
TXN-0000067,CUST-10491,1346.07,USD,Authorized,UK,MasterCard,2024-01-01T01:21:31Z
TXN-0000068,CUST-80715,4281.42,EUR,Refunded,EU,SEPA,2024-01-01T01:22:44Z
TXN-0000069,CUST-2513,1697.07,AUD,Refunded,JP,Visa,2024-01-01T01:23:57Z
TXN-0000070,CUST-70063,3548.25,EUR,Captured,UK,Visa,2024-01-01T01:25:10Z
TXN-0000071,CUST-24743,1010.43,INR,Refunded,IN,GiftCard,2024-01-01T01:26:23Z
TXN-0000072,CUST-59417,2501.43,GBP,Refunded,CA,Visa,2024-01-01T01:27:36Z
TXN-0000073,CUST-33826,186.66,USD,Voided,IN,SEPA,2024-01-01T01:28:49Z
TXN-0000074,CUST-33201,4673.33,EUR,Declined,BR,UPI,2024-01-01T01:30:02Z
TXN-0000075,CUST-67412,1540.29,JPY,Captured,CA,Wallet,2024-01-01T01:31:15Z
TXN-0000076,CUST-93631,3644.75,GBP,Declined,CA,Visa,2024-01-01T01:32:28Z
TXN-0000077,CUST-18015,73.24,INR,Declined,JP,Visa,2024-01-01T01:33:41Z
TXN-0000078,CUST-12073,3326.80,AUD,Voided,UK,Wallet,2024-01-01T01:34:54Z
TXN-0000079,CUST-91791,1466.70,BRL,Captured,JP,GiftCard,2024-01-01T01:36:07Z
TXN-0000080,CUST-59435,20.10,CAD,Refunded,CA,Wallet,2024-01-01T01:37:20Z
TXN-0000081,CUST-5515,4828.39,INR,Captured,CA,Amex,2024-01-01T01:38:33Z
TXN-0000082,CUST-1140,1677.98,EUR,Declined,UK,Wallet,2024-01-01T01:39:46Z
TXN-0000083,CUST-33529,2524.66,USD,Authorized,UK,MasterCard,2024-01-01T01:40:59Z
TXN-0000084,CUST-19856,1998.75,USD,Declined,US,GiftCard,2024-01-01T01:42:12Z
TXN-0000085,CUST-40877,3149.08,EUR,Voided,JP,UPI,2024-01-01T01:43:25Z
TXN-0000086,CUST-43747,3603.94,BRL,Captured,UK,Amex,2024-01-01T01:44:38Z
TXN-0000087,CUST-6739,4124.63,AUD,Voided,JP,Visa,2024-01-01T01:45:51Z
TXN-0000088,CUST-90977,2921.13,JPY,Authorized,US,Visa,2024-01-01T01:47:04Z
TXN-0000089,CUST-18444,3186.32,EUR,Declined,BR,Visa,2024-01-01T01:48:17Z
TXN-0000090,CUST-83282,96.16,JPY,Declined,UK,Visa,2024-01-01T01:49:30Z
TXN-0000091,CUST-60893,3988.88,EUR,Voided,EU,SEPA,2024-01-01T01:50:43Z
TXN-0000092,CUST-34055,4046.47,INR,Captured,IN,Wallet,2024-01-01T01:51:56Z
TXN-0000093,CUST-97970,3250.35,BRL,Declined,AU,MasterCard,2024-01-01T01:53:09Z
TXN-0000094,CUST-63784,4552.50,INR,Authorized,IN,MasterCard,2024-01-01T01:54:22Z
TXN-0000095,CUST-79604,738.82,INR,Refunded,JP,Visa,2024-01-01T01:55:35Z
TXN-0000096,CUST-64231,305.17,INR,Authorized,IN,SEPA,2024-01-01T01:56:48Z
TXN-0000097,CUST-39123,3544.93,INR,Declined,BR,SEPA,2024-01-01T01:58:01Z
TXN-0000098,CUST-16532,4966.51,JPY,Refunded,EU,SEPA,2024-01-01T01:59:14Z
TXN-0000099,CUST-3294,1449.36,EUR,Voided,BR,GiftCard,2024-01-01T02:00:27Z
TXN-0000100,CUST-51704,1050.76,JPY,Authorized,EU,Amex,2024-01-01T02:01:40Z
TXN-0000101,CUST-98974,2621.27,CAD,Captured,UK,MasterCard,2024-01-01T02:02:53Z
TXN-0000102,CUST-93187,1827.20,BRL,Declined,AU,Visa,2024-01-01T02:04:06Z
TXN-0000103,CUST-21849,19.94,BRL,Declined,AU,GiftCard,2024-01-01T02:05:19Z
TXN-0000104,CUST-96313,705.24,CAD,Declined,CA,MasterCard,2024-01-01T02:06:32Z
TXN-0000105,CUST-44427,10.69,CAD,Declined,EU,Wallet,2024-01-01T02:07:45Z
TXN-0000106,CUST-94457,60.57,INR,Refunded,CA,MasterCard,2024-01-01T02:08:58Z
TXN-0000107,CUST-52498,1952.02,EUR,Refunded,AU,GiftCard,2024-01-01T02:10:11Z
TXN-0000108,CUST-7326,1404.62,USD,Refunded,JP,Wallet,2024-01-01T02:11:24Z
TXN-0000109,CUST-35829,2182.32,CAD,Captured,CA,UPI,2024-01-01T02:12:37Z
TXN-0000110,CUST-4802,4060.18,AUD,Voided,IN,MasterCard,2024-01-01T02:13:50Z
TXN-0000111,CUST-7484,4667.45,AUD,Declined,JP,GiftCard,2024-01-01T02:15:03Z
TXN-0000112,CUST-64645,246.78,GBP,Captured,BR,UPI,2024-01-01T02:16:16Z
TXN-0000113,CUST-46044,1410.16,INR,Refunded,AU,Wallet,2024-01-01T02:17:29Z
TXN-0000114,CUST-40431,2416.93,AUD,Authorized,JP,Amex,2024-01-01T02:18:42Z
TXN-0000115,CUST-10852,1040.94,BRL,Voided,IN,SEPA,2024-01-01T02:19:55Z
TXN-0000116,CUST-44625,4982.37,BRL,Declined,JP,Wallet,2024-01-01T02:21:08Z
TXN-0000117,CUST-32992,455.38,CAD,Voided,EU,BankTransfer,2024-01-01T02:22:21Z
TXN-0000118,CUST-32342,1842.78,JPY,Authorized,AU,UPI,2024-01-01T02:23:34Z
TXN-0000119,CUST-55248,3729.70,JPY,Declined,UK,BankTransfer,2024-01-01T02:24:47Z
TXN-0000120,CUST-99580,312.16,INR,Voided,CA,Amex,2024-01-01T02:26:00Z
TXN-0000121,CUST-91014,2517.96,JPY,Authorized,UK,Wallet,2024-01-01T02:27:13Z
TXN-0000122,CUST-51405,1999.98,BRL,Declined,UK,Visa,2024-01-01T02:28:26Z
TXN-0000123,CUST-17678,163.14,BRL,Voided,BR,Visa,2024-01-01T02:29:39Z
TXN-0000124,CUST-10586,1958.81,BRL,Declined,IN,MasterCard,2024-01-01T02:30:52Z
TXN-0000125,CUST-30333,773.57,EUR,Declined,EU,Visa,2024-01-01T02:32:05Z
TXN-0000126,CUST-1179,3911.92,JPY,Voided,US,GiftCard,2024-01-01T02:33:18Z
TXN-0000127,CUST-17772,3133.10,AUD,Authorized,EU,MasterCard,2024-01-01T02:34:31Z
TXN-0000128,CUST-40367,2623.12,JPY,Declined,UK,Wallet,2024-01-01T02:35:44Z
TXN-0000129,CUST-79782,7.75,INR,Declined,UK,BankTransfer,2024-01-01T02:36:57Z
TXN-0000130,CUST-85485,4197.37,JPY,Declined,IN,Wallet,2024-01-01T02:38:10Z
TXN-0000131,CUST-4837,4803.14,INR,Authorized,US,Wallet,2024-01-01T02:39:23Z
TXN-0000132,CUST-66314,4424.46,AUD,Authorized,UK,Wallet,2024-01-01T02:40:36Z
TXN-0000133,CUST-88471,2122.75,CAD,Captured,BR,Visa,2024-01-01T02:41:49Z
TXN-0000134,CUST-92202,1691.57,AUD,Refunded,AU,Wallet,2024-01-01T02:43:02Z
TXN-0000135,CUST-1885,3985.72,EUR,Captured,BR,Wallet,2024-01-01T02:44:15Z
TXN-0000136,CUST-41857,3829.74,JPY,Captured,BR,Wallet,2024-01-01T02:45:28Z
TXN-0000137,CUST-35736,3802.82,INR,Authorized,BR,Amex,2024-01-01T02:46:41Z
TXN-0000138,CUST-30271,2426.28,USD,Voided,JP,UPI,2024-01-01T02:47:54Z
TXN-0000139,CUST-8124,1066.31,GBP,Declined,US,Visa,2024-01-01T02:49:07Z
TXN-0000140,CUST-25130,1967.81,CAD,Authorized,EU,Amex,2024-01-01T02:50:20Z
TXN-0000141,CUST-44154,955.03,BRL,Authorized,UK,UPI,2024-01-01T02:51:33Z
TXN-0000142,CUST-50005,4924.93,BRL,Captured,EU,Visa,2024-01-01T02:52:46Z
TXN-0000143,CUST-11255,1400.46,CAD,Declined,EU,Wallet,2024-01-01T02:53:59Z
TXN-0000144,CUST-50824,1784.42,INR,Declined,EU,Visa,2024-01-01T02:55:12Z
TXN-0000145,CUST-93439,2368.36,CAD,Voided,BR,Wallet,2024-01-01T02:56:25Z
TXN-0000146,CUST-43376,1822.51,BRL,Authorized,AU,Wallet,2024-01-01T02:57:38Z
TXN-0000147,CUST-82973,3833.80,USD,Declined,US,SEPA,2024-01-01T02:58:51Z
TXN-0000148,CUST-9202,4017.07,USD,Refunded,IN,MasterCard,2024-01-01T03:00:04Z
TXN-0000149,CUST-80379,1696.66,INR,Refunded,US,GiftCard,2024-01-01T03:01:17Z
TXN-0000150,CUST-98837,3583.74,CAD,Refunded,UK,Visa,2024-01-01T03:02:30Z
TXN-0000151,CUST-95577,3778.74,EUR,Authorized,IN,MasterCard,2024-01-01T03:03:43Z
TXN-0000152,CUST-63283,3578.41,BRL,Declined,UK,UPI,2024-01-01T03:04:56Z
TXN-0000153,CUST-65680,665.26,BRL,Captured,US,GiftCard,2024-01-01T03:06:09Z
TXN-0000154,CUST-91716,3864.49,JPY,Refunded,CA,SEPA,2024-01-01T03:07:22Z
TXN-0000155,CUST-48429,3919.59,EUR,Voided,IN,UPI,2024-01-01T03:08:35Z
TXN-0000156,CUST-99682,801.36,AUD,Authorized,US,SEPA,2024-01-01T03:09:48Z
TXN-0000157,CUST-73429,2723.98,GBP,Declined,EU,MasterCard,2024-01-01T03:11:01Z
TXN-0000158,CUST-35719,3123.75,JPY,Authorized,AU,SEPA,2024-01-01T03:12:14Z
TXN-0000159,CUST-94031,4860.63,GBP,Captured,JP,UPI,2024-01-01T03:13:27Z
TXN-0000160,CUST-61414,3102.29,JPY,Voided,EU,GiftCard,2024-01-01T03:14:40Z
TXN-0000161,CUST-39506,1398.42,INR,Refunded,UK,GiftCard,2024-01-01T03:15:53Z
TXN-0000162,CUST-27108,2198.10,GBP,Captured,IN,Amex,2024-01-01T03:17:06Z
TXN-0000163,CUST-37877,4421.06,JPY,Refunded,EU,UPI,2024-01-01T03:18:19Z
TXN-0000164,CUST-33984,4962.25,JPY,Authorized,BR,Visa,2024-01-01T03:19:32Z
TXN-0000165,CUST-14412,24.44,JPY,Declined,CA,Visa,2024-01-01T03:20:45Z
TXN-0000166,CUST-39492,1165.99,USD,Captured,IN,MasterCard,2024-01-01T03:21:58Z
TXN-0000167,CUST-49789,2564.31,GBP,Declined,UK,Visa,2024-01-01T03:23:11Z
TXN-0000168,CUST-14864,3188.00,CAD,Captured,US,BankTransfer,2024-01-01T03:24:24Z
TXN-0000169,CUST-45566,708.55,JPY,Refunded,US,Wallet,2024-01-01T03:25:37Z
TXN-0000170,CUST-2491,4094.52,AUD,Refunded,JP,GiftCard,2024-01-01T03:26:50Z
TXN-0000171,CUST-11215,1018.62,BRL,Voided,BR,MasterCard,2024-01-01T03:28:03Z
TXN-0000172,CUST-54499,508.73,AUD,Voided,JP,MasterCard,2024-01-01T03:29:16Z
TXN-0000173,CUST-86597,820.11,INR,Declined,UK,GiftCard,2024-01-01T03:30:29Z
TXN-0000174,CUST-55767,4766.03,INR,Voided,CA,UPI,2024-01-01T03:31:42Z
TXN-0000175,CUST-55584,93.02,CAD,Captured,AU,UPI,2024-01-01T03:32:55Z
TXN-0000176,CUST-27695,4710.04,AUD,Captured,AU,MasterCard,2024-01-01T03:34:08Z
TXN-0000177,CUST-12860,2032.27,CAD,Declined,JP,Amex,2024-01-01T03:35:21Z
TXN-0000178,CUST-2944,260.36,GBP,Declined,EU,BankTransfer,2024-01-01T03:36:34Z
TXN-0000179,CUST-97632,2523.30,GBP,Refunded,UK,Amex,2024-01-01T03:37:47Z
TXN-0000180,CUST-69309,860.57,EUR,Authorized,AU,SEPA,2024-01-01T03:39:00Z
TXN-0000181,CUST-99770,4024.45,JPY,Refunded,JP,Visa,2024-01-01T03:40:13Z
TXN-0000182,CUST-64273,1573.99,AUD,Authorized,JP,Wallet,2024-01-01T03:41:26Z
TXN-0000183,CUST-82402,2023.60,JPY,Declined,JP,Wallet,2024-01-01T03:42:39Z
TXN-0000184,CUST-6467,1999.92,GBP,Declined,CA,MasterCard,2024-01-01T03:43:52Z
TXN-0000185,CUST-20590,1236.79,JPY,Authorized,US,BankTransfer,2024-01-01T03:45:05Z
TXN-0000186,CUST-16431,1950.39,BRL,Voided,UK,UPI,2024-01-01T03:46:18Z
TXN-0000187,CUST-41397,2913.95,AUD,Declined,CA,SEPA,2024-01-01T03:47:31Z
TXN-0000188,CUST-67005,2192.88,USD,Authorized,BR,SEPA,2024-01-01T03:48:44Z
TXN-0000189,CUST-31834,2235.19,BRL,Captured,BR,UPI,2024-01-01T03:49:57Z
TXN-0000190,CUST-15034,337.46,CAD,Declined,CA,MasterCard,2024-01-01T03:51:10Z
TXN-0000191,CUST-58929,2522.69,USD,Authorized,JP,MasterCard,2024-01-01T03:52:23Z
TXN-0000192,CUST-97138,1569.99,EUR,Authorized,AU,Amex,2024-01-01T03:53:36Z
TXN-0000193,CUST-4389,4285.63,EUR,Captured,JP,SEPA,2024-01-01T03:54:49Z
TXN-0000194,CUST-38733,4783.27,GBP,Captured,EU,BankTransfer,2024-01-01T03:56:02Z
TXN-0000195,CUST-81012,3781.38,GBP,Refunded,UK,SEPA,2024-01-01T03:57:15Z
TXN-0000196,CUST-19818,1272.29,BRL,Captured,UK,Wallet,2024-01-01T03:58:28Z
TXN-0000197,CUST-42822,1862.58,JPY,Captured,AU,Amex,2024-01-01T03:59:41Z
TXN-0000198,CUST-84436,4682.14,CAD,Declined,JP,GiftCard,2024-01-01T04:00:54Z
TXN-0000199,CUST-16083,3841.78,USD,Refunded,BR,MasterCard,2024-01-01T04:02:07Z
TXN-0000200,CUST-34034,4964.78,AUD,Refunded,UK,UPI,2024-01-01T04:03:20Z
TXN-0000201,CUST-49358,2887.64,CAD,Refunded,EU,SEPA,2024-01-01T04:04:33Z
TXN-0000202,CUST-31152,885.42,USD,Refunded,UK,GiftCard,2024-01-01T04:05:46Z
TXN-0000203,CUST-84786,4829.84,CAD,Authorized,US,Wallet,2024-01-01T04:06:59Z
TXN-0000204,CUST-20577,1456.27,AUD,Declined,CA,Visa,2024-01-01T04:08:12Z
TXN-0000205,CUST-18304,2442.99,USD,Authorized,US,Visa,2024-01-01T04:09:25Z
TXN-0000206,CUST-75333,1776.09,EUR,Voided,CA,Wallet,2024-01-01T04:10:38Z
TXN-0000207,CUST-55163,2918.78,GBP,Captured,CA,SEPA,2024-01-01T04:11:51Z
TXN-0000208,CUST-21791,675.46,JPY,Captured,BR,MasterCard,2024-01-01T04:13:04Z
TXN-0000209,CUST-9345,3191.76,INR,Declined,UK,Visa,2024-01-01T04:14:17Z
TXN-0000210,CUST-8357,3225.44,CAD,Voided,BR,SEPA,2024-01-01T04:15:30Z
TXN-0000211,CUST-33571,827.16,USD,Authorized,US,Visa,2024-01-01T04:16:43Z
TXN-0000212,CUST-54213,929.91,GBP,Authorized,EU,Visa,2024-01-01T04:17:56Z
TXN-0000213,CUST-81299,2755.50,JPY,Captured,AU,Wallet,2024-01-01T04:19:09Z
TXN-0000214,CUST-68929,3041.19,AUD,Voided,JP,GiftCard,2024-01-01T04:20:22Z
TXN-0000215,CUST-9358,1502.72,USD,Declined,US,UPI,2024-01-01T04:21:35Z
TXN-0000216,CUST-58232,3726.44,BRL,Authorized,BR,Amex,2024-01-01T04:22:48Z
TXN-0000217,CUST-30615,4983.05,INR,Captured,US,MasterCard,2024-01-01T04:24:01Z
TXN-0000218,CUST-44976,4456.58,INR,Authorized,UK,UPI,2024-01-01T04:25:14Z
TXN-0000219,CUST-90880,3942.66,INR,Refunded,IN,MasterCard,2024-01-01T04:26:27Z
TXN-0000220,CUST-67509,78.10,INR,Captured,IN,Amex,2024-01-01T04:27:40Z
TXN-0000221,CUST-98799,4574.95,JPY,Declined,CA,Wallet,2024-01-01T04:28:53Z
TXN-0000222,CUST-50735,4538.02,BRL,Declined,US,Visa,2024-01-01T04:30:06Z
TXN-0000223,CUST-58306,4778.56,JPY,Voided,UK,Wallet,2024-01-01T04:31:19Z
TXN-0000224,CUST-52322,3113.86,EUR,Voided,JP,Amex,2024-01-01T04:32:32Z
TXN-0000225,CUST-5314,136.45,EUR,Voided,JP,BankTransfer,2024-01-01T04:33:45Z
TXN-0000226,CUST-19591,3504.29,USD,Authorized,JP,Visa,2024-01-01T04:34:58Z
TXN-0000227,CUST-92358,340.99,USD,Authorized,CA,Wallet,2024-01-01T04:36:11Z
TXN-0000228,CUST-70978,4456.61,EUR,Declined,EU,Wallet,2024-01-01T04:37:24Z
TXN-0000229,CUST-27964,1017.39,USD,Authorized,EU,GiftCard,2024-01-01T04:38:37Z
TXN-0000230,CUST-63536,501.18,EUR,Captured,UK,BankTransfer,2024-01-01T04:39:50Z
TXN-0000231,CUST-45107,2119.97,USD,Refunded,UK,GiftCard,2024-01-01T04:41:03Z
TXN-0000232,CUST-7344,3579.37,CAD,Refunded,BR,GiftCard,2024-01-01T04:42:16Z
TXN-0000233,CUST-82038,3728.77,AUD,Authorized,AU,MasterCard,2024-01-01T04:43:29Z
TXN-0000234,CUST-46453,2345.76,USD,Voided,IN,MasterCard,2024-01-01T04:44:42Z
TXN-0000235,CUST-76306,4099.41,GBP,Declined,US,Wallet,2024-01-01T04:45:55Z
TXN-0000236,CUST-38792,3811.37,USD,Authorized,CA,SEPA,2024-01-01T04:47:08Z
TXN-0000237,CUST-13542,2458.43,GBP,Declined,CA,GiftCard,2024-01-01T04:48:21Z
TXN-0000238,CUST-76760,4719.45,INR,Captured,IN,SEPA,2024-01-01T04:49:34Z
TXN-0000239,CUST-22730,551.39,EUR,Declined,EU,BankTransfer,2024-01-01T04:50:47Z
TXN-0000240,CUST-47611,477.54,AUD,Authorized,AU,Visa,2024-01-01T04:52:00Z
TXN-0000241,CUST-49752,1032.16,INR,Declined,JP,UPI,2024-01-01T04:53:13Z
TXN-0000242,CUST-83672,1169.40,BRL,Captured,US,BankTransfer,2024-01-01T04:54:26Z
TXN-0000243,CUST-77228,1634.64,GBP,Declined,CA,Amex,2024-01-01T04:55:39Z
TXN-0000244,CUST-61706,2195.10,INR,Voided,IN,Amex,2024-01-01T04:56:52Z
TXN-0000245,CUST-44785,2311.16,JPY,Voided,IN,GiftCard,2024-01-01T04:58:05Z
TXN-0000246,CUST-40519,3774.16,GBP,Captured,IN,BankTransfer,2024-01-01T04:59:18Z
TXN-0000247,CUST-80022,2611.84,GBP,Captured,CA,Wallet,2024-01-01T05:00:31Z
TXN-0000248,CUST-34906,4875.78,EUR,Captured,EU,Wallet,2024-01-01T05:01:44Z
TXN-0000249,CUST-51362,756.49,GBP,Refunded,UK,UPI,2024-01-01T05:02:57Z
TXN-0000250,CUST-36890,982.55,EUR,Refunded,IN,UPI,2024-01-01T05:04:10Z
TXN-0000251,CUST-61806,171.58,AUD,Declined,IN,GiftCard,2024-01-01T05:05:23Z
TXN-0000252,CUST-61722,112.53,INR,Voided,AU,Visa,2024-01-01T05:06:36Z
TXN-0000253,CUST-98117,1212.93,AUD,Voided,AU,Wallet,2024-01-01T05:07:49Z
TXN-0000254,CUST-88542,3611.64,JPY,Captured,EU,SEPA,2024-01-01T05:09:02Z
TXN-0000255,CUST-57692,1566.44,EUR,Declined,IN,UPI,2024-01-01T05:10:15Z
TXN-0000256,CUST-94474,3563.74,GBP,Refunded,AU,SEPA,2024-01-01T05:11:28Z
TXN-0000257,CUST-60663,100.24,AUD,Voided,JP,BankTransfer,2024-01-01T05:12:41Z
TXN-0000258,CUST-2393,1944.75,BRL,Authorized,US,GiftCard,2024-01-01T05:13:54Z
TXN-0000259,CUST-72219,1090.96,JPY,Voided,CA,MasterCard,2024-01-01T05:15:07Z
TXN-0000260,CUST-76308,2285.00,JPY,Declined,US,BankTransfer,2024-01-01T05:16:20Z
TXN-0000261,CUST-69378,1715.56,BRL,Captured,JP,UPI,2024-01-01T05:17:33Z
TXN-0000262,CUST-68343,3813.97,EUR,Voided,CA,Visa,2024-01-01T05:18:46Z
TXN-0000263,CUST-34090,1373.23,AUD,Authorized,US,MasterCard,2024-01-01T05:19:59Z
TXN-0000264,CUST-55864,4577.34,CAD,Voided,UK,MasterCard,2024-01-01T05:21:12Z
TXN-0000265,CUST-30416,1518.86,AUD,Voided,IN,UPI,2024-01-01T05:22:25Z
TXN-0000266,CUST-61570,1061.63,GBP,Authorized,IN,SEPA,2024-01-01T05:23:38Z
TXN-0000267,CUST-85174,2811.14,JPY,Captured,CA,UPI,2024-01-01T05:24:51Z
TXN-0000268,CUST-62354,4980.69,GBP,Declined,CA,Wallet,2024-01-01T05:26:04Z
TXN-0000269,CUST-36051,3521.58,INR,Declined,JP,SEPA,2024-01-01T05:27:17Z
TXN-0000270,CUST-1353,4027.56,INR,Refunded,IN,GiftCard,2024-01-01T05:28:30Z
TXN-0000271,CUST-42985,2398.78,AUD,Voided,EU,BankTransfer,2024-01-01T05:29:43Z
TXN-0000272,CUST-21021,4643.76,AUD,Authorized,EU,BankTransfer,2024-01-01T05:30:56Z
TXN-0000273,CUST-19402,2654.17,CAD,Voided,US,Visa,2024-01-01T05:32:09Z
