txn_id,timestamp,feature,merchant,instrument,amount_inr,status,customer_id,description
AP00000065,2026-02-10T23:39:41Z,Merchant Settlements,EatSure,NETBANKING,7208.85,FAILED,CUST618196,Amazon Pay - Merchant Settlements via EatSure
AP00000066,2026-05-05T16:48:32Z,Refund Processing,Uber,AMAZON_PAY_UPI,6276.42,REVERSED,CUST869499,Amazon Pay - Refund Processing via Uber
AP00000067,2026-02-03T00:02:08Z,Transaction History,Domino's,AMAZON_PAY_UPI,7980.89,REVERSED,CUST845732,Amazon Pay - Transaction History via Domino's
AP00000068,2026-01-21T00:40:34Z,KYC Verification,Tata Power,AMAZON_PAY_UPI,8359.02,REFUNDED,CUST685658,Amazon Pay - KYC Verification via Tata Power
AP00000069,2026-01-24T16:57:34Z,Fraud Detection,Cleartrip,NETBANKING,43.11,FAILED,CUST936446,Amazon Pay - Fraud Detection via Cleartrip
AP00000070,2026-03-26T02:54:16Z,PIN & Biometric Authentication,Zomato,EMI,7459.08,SUCCESS,CUST596876,Amazon Pay - PIN & Biometric Authentication via Zomato
AP00000071,2026-04-28T12:04:30Z,Strong Customer Authentication,Cleartrip,AMAZON_PAY_WALLET,7400.15,PENDING,CUST582701,Amazon Pay - Strong Customer Authentication via Cleartrip
AP00000072,2026-01-20T04:21:16Z,Multi-Currency Support,RedBus,AMAZON_PAY_UPI,6330.97,REVERSED,CUST307922,Amazon Pay - Multi-Currency Support via RedBus
AP00000073,2026-01-16T08:43:06Z,Cross-Border Payments,RedBus,EMI,1342.94,REVERSED,CUST605854,Amazon Pay - Cross-Border Payments via RedBus
AP00000074,2026-04-15T14:49:07Z,QR Code Payments,Practo,NETBANKING,7090.91,FAILED,CUST399414,Amazon Pay - QR Code Payments via Practo
AP00000075,2026-01-10T14:04:52Z,NFC Tap-to-Pay,MakeMyTrip,AMAZON_PAY_WALLET,9780.5,FAILED,CUST595918,Amazon Pay - NFC Tap-to-Pay via MakeMyTrip
AP00000076,2026-01-19T02:09:47Z,Voice Payments,Jio,NETBANKING,3874.23,FAILED,CUST320944,Amazon Pay - Voice Payments via Jio
AP00000077,2026-05-09T03:45:23Z,Smart Connect Express Checkout,Jio,CARD_TOKEN,1334.59,FAILED,CUST960059,Amazon Pay - Smart Connect Express Checkout via Jio
AP00000078,2026-01-16T21:28:25Z,Saved Payment Instruments,Cleartrip,NETBANKING,3946.47,REFUNDED,CUST266792,Amazon Pay - Saved Payment Instruments via Cleartrip
AP00000079,2026-01-27T10:00:20Z,Shipping Address Book,RedBus,AMAZON_PAY_WALLET,3445.82,REFUNDED,CUST431431,Amazon Pay - Shipping Address Book via RedBus
AP00000080,2026-01-24T09:16:23Z,Order Tracking Integration,Vodafone,NETBANKING,9398.47,SUCCESS,CUST305249,Amazon Pay - Order Tracking Integration via Vodafone
AP00000081,2026-01-12T13:48:17Z,Loyalty Program Integration,Zomato,NETBANKING,9986.94,REFUNDED,CUST717796,Amazon Pay - Loyalty Program Integration via Zomato
AP00000082,2026-03-21T04:15:17Z,Charity Donations,Bookmyshow,CARD_TOKEN,525.61,SUCCESS,CUST794134,Amazon Pay - Charity Donations via Bookmyshow
AP00000083,2026-04-01T20:25:58Z,Tax Invoice Download,BWSSB,EMI,1906.4,FAILED,CUST491485,Amazon Pay - Tax Invoice Download via BWSSB
AP00000084,2026-04-15T19:48:08Z,Customer Support Chat,MakeMyTrip,EMI,7197.81,PENDING,CUST151879,Amazon Pay - Customer Support Chat via MakeMyTrip
AP00000085,2026-02-06T15:26:21Z,Dispute Resolution,RedBus,NETBANKING,9119.02,SUCCESS,CUST676830,Amazon Pay - Dispute Resolution via RedBus
AP00000086,2026-03-13T20:15:19Z,Subscription AutoPay,RedBus,CARD_TOKEN,7392.2,FAILED,CUST784529,Amazon Pay - Subscription AutoPay via RedBus
AP00000087,2026-02-03T06:32:57Z,Split Bills,Airtel,EMI,1206.11,REFUNDED,CUST774449,Amazon Pay - Split Bills via Airtel
AP00000088,2026-04-14T04:35:12Z,Invoice / Request Money,Airtel,EMI,4534.88,PENDING,CUST449002,Amazon Pay - Invoice / Request Money via Airtel
AP00000089,2026-03-08T11:16:51Z,Merchant Onboarding,Cleartrip,AMAZON_PAY_UPI,3425.79,PENDING,CUST195519,Amazon Pay - Merchant Onboarding via Cleartrip
AP00000090,2026-04-14T23:33:13Z,Risk-Based Step-Up,Domino's,AMAZON_PAY_WALLET,7498.33,SUCCESS,CUST532832,Amazon Pay - Risk-Based Step-Up via Domino's
AP00000091,2026-03-19T11:08:43Z,Device Binding,Bescom,CARD_TOKEN,7522.84,FAILED,CUST622343,Amazon Pay - Device Binding via Bescom
AP00000092,2026-04-13T20:28:27Z,Velocity Controls,Jio,EMI,934.96,PENDING,CUST360522,Amazon Pay - Velocity Controls via Jio
AP00000093,2026-04-19T15:00:04Z,Refund SLA Tracking,RedBus,AMAZON_PAY_UPI,332.08,PENDING,CUST843977,Amazon Pay - Refund SLA Tracking via RedBus
AP00000094,2026-01-08T04:09:33Z,Reconciliation Reports,Bescom,EMI,9721.72,REFUNDED,CUST360534,Amazon Pay - Reconciliation Reports via Bescom
AP00000095,2026-01-26T04:14:36Z,Webhooks & Events,Tata 1mg,NETBANKING,5518.94,SUCCESS,CUST141467,Amazon Pay - Webhooks & Events via Tata 1mg
AP00000096,2026-04-23T03:06:04Z,API Rate Limits,Bookmyshow,CARD_TOKEN,6267.84,PENDING,CUST653913,Amazon Pay - API Rate Limits via Bookmyshow
AP00000097,2026-02-26T19:00:00Z,Sandbox Environment,RedBus,EMI,1924.91,REVERSED,CUST373554,Amazon Pay - Sandbox Environment via RedBus
AP00000098,2026-02-16T16:15:35Z,Compliance Reporting,MakeMyTrip,CARD_TOKEN,2792.97,REFUNDED,CUST431724,Amazon Pay - Compliance Reporting via MakeMyTrip
AP00000099,2026-01-01T06:31:56Z,PCI-DSS Tokenization,Cleartrip,AMAZON_PAY_UPI,7048.79,REFUNDED,CUST422329,Amazon Pay - PCI-DSS Tokenization via Cleartrip
AP00000100,2026-03-08T15:02:44Z,One-Click Checkout,BWSSB,AMAZON_PAY_UPI,2285.9,FAILED,CUST544934,Amazon Pay - One-Click Checkout via BWSSB
AP00000101,2026-01-26T09:47:54Z,Buy Now Pay Later,Vodafone,NETBANKING,6828.16,FAILED,CUST307701,Amazon Pay - Buy Now Pay Later via Vodafone
AP00000102,2026-03-25T06:14:29Z,UPI Payments,Jio,AMAZON_PAY_UPI,4961.5,PENDING,CUST310149,Amazon Pay - UPI Payments via Jio
AP00000103,2026-04-20T05:57:14Z,Recurring Payments,Cleartrip,CARD_TOKEN,1098.88,FAILED,CUST753888,Amazon Pay - Recurring Payments via Cleartrip
AP00000104,2026-04-02T06:01:38Z,Amazon Pay Wallet,Airtel,NETBANKING,9487.18,SUCCESS,CUST253493,Amazon Pay - Amazon Pay Wallet via Airtel
AP00000105,2026-04-15T22:56:20Z,Send Money to Contacts,Uber,NETBANKING,7100.78,SUCCESS,CUST293047,Amazon Pay - Send Money to Contacts via Uber
AP00000106,2026-05-24T14:02:19Z,Bill Payments,Tata 1mg,AMAZON_PAY_UPI,3298.81,PENDING,CUST294523,Amazon Pay - Bill Payments via Tata 1mg
AP00000107,2026-01-03T08:05:22Z,Mobile Recharge,Bescom,CARD_TOKEN,4429.48,FAILED,CUST214250,Amazon Pay - Mobile Recharge via Bescom
AP00000108,2026-04-12T09:52:51Z,DTH Recharge,BWSSB,AMAZON_PAY_UPI,9642.11,REVERSED,CUST317477,Amazon Pay - DTH Recharge via BWSSB
AP00000109,2026-03-18T14:12:20Z,Insurance Premium Payments,BWSSB,AMAZON_PAY_UPI,7054.81,SUCCESS,CUST305222,Amazon Pay - Insurance Premium Payments via BWSSB
AP00000110,2026-04-02T12:02:29Z,Credit Card Bill Payments,Tata Power,NETBANKING,6319.67,SUCCESS,CUST360060,Amazon Pay - Credit Card Bill Payments via Tata Power
AP00000111,2026-05-11T11:17:21Z,EMI Auto-Debit,Zomato,AMAZON_PAY_UPI,1957.27,FAILED,CUST165904,Amazon Pay - EMI Auto-Debit via Zomato
AP00000112,2026-03-09T09:00:46Z,Rewards & Cashback,EatSure,AMAZON_PAY_UPI,7466.17,FAILED,CUST823074,Amazon Pay - Rewards & Cashback via EatSure
AP00000113,2026-04-23T14:49:24Z,Coupons & Promo Codes,EatSure,AMAZON_PAY_UPI,8261.1,SUCCESS,CUST212471,Amazon Pay - Coupons & Promo Codes via EatSure
AP00000114,2026-02-01T23:19:52Z,Gift Cards,Indigo,NETBANKING,1335.61,REFUNDED,CUST620660,Amazon Pay - Gift Cards via Indigo
AP00000115,2026-04-12T19:05:32Z,Merchant Settlements,Uber,EMI,3284.39,PENDING,CUST435071,Amazon Pay - Merchant Settlements via Uber
AP00000116,2026-01-16T17:34:20Z,Refund Processing,Practo,NETBANKING,2480.35,PENDING,CUST167877,Amazon Pay - Refund Processing via Practo
AP00000117,2026-05-03T06:06:26Z,Transaction History,BigBasket,NETBANKING,9877.37,SUCCESS,CUST377758,Amazon Pay - Transaction History via BigBasket
AP00000118,2026-04-20T21:15:47Z,KYC Verification,Airtel,NETBANKING,2349.39,PENDING,CUST537089,Amazon Pay - KYC Verification via Airtel
AP00000119,2026-03-12T08:47:16Z,Fraud Detection,MakeMyTrip,AMAZON_PAY_UPI,2944.59,FAILED,CUST694421,Amazon Pay - Fraud Detection via MakeMyTrip
AP00000120,2026-02-10T18:12:20Z,PIN & Biometric Authentication,Practo,NETBANKING,1865.32,PENDING,CUST346943,Amazon Pay - PIN & Biometric Authentication via Practo
AP00000121,2026-05-08T20:51:06Z,Strong Customer Authentication,Zomato,NETBANKING,9923.57,FAILED,CUST631968,Amazon Pay - Strong Customer Authentication via Zomato
AP00000122,2026-02-27T14:58:23Z,Multi-Currency Support,ACT Fibernet,AMAZON_PAY_UPI,54.87,SUCCESS,CUST958891,Amazon Pay - Multi-Currency Support via ACT Fibernet
AP00000123,2026-05-27T18:12:59Z,Cross-Border Payments,Bookmyshow,CARD_TOKEN,1200.85,PENDING,CUST298781,Amazon Pay - Cross-Border Payments via Bookmyshow
AP00000124,2026-05-09T21:00:06Z,QR Code Payments,Zomato,CARD_TOKEN,8661.75,REVERSED,CUST570930,Amazon Pay - QR Code Payments via Zomato
AP00000125,2026-03-05T01:13:16Z,NFC Tap-to-Pay,EatSure,EMI,2184.06,FAILED,CUST486618,Amazon Pay - NFC Tap-to-Pay via EatSure
AP00000126,2026-03-14T21:23:11Z,Voice Payments,Bookmyshow,EMI,8148.48,PENDING,CUST958608,Amazon Pay - Voice Payments via Bookmyshow
AP00000127,2026-04-18T15:04:26Z,Smart Connect Express Checkout,EatSure,CARD_TOKEN,2041.84,SUCCESS,CUST933912,Amazon Pay - Smart Connect Express Checkout via EatSure
AP00000128,2026-01-21T05:25:44Z,Saved Payment Instruments,Tata 1mg,NETBANKING,1553.82,REVERSED,CUST659936,Amazon Pay - Saved Payment Instruments via Tata 1mg
AP00000129,2026-01-10T23:36:56Z,Shipping Address Book,Indigo,NETBANKING,6680.76,FAILED,CUST538142,Amazon Pay - Shipping Address Book via Indigo
AP00000130,2026-03-21T06:25:46Z,Order Tracking Integration,Tata Power,NETBANKING,191.93,REFUNDED,CUST903904,Amazon Pay - Order Tracking Integration via Tata Power
AP00000131,2026-04-04T02:25:36Z,Loyalty Program Integration,Bescom,AMAZON_PAY_WALLET,4346.87,SUCCESS,CUST264172,Amazon Pay - Loyalty Program Integration via Bescom
AP00000132,2026-05-05T20:51:58Z,Charity Donations,Tata Power,NETBANKING,1308.32,PENDING,CUST154206,Amazon Pay - Charity Donations via Tata Power
AP00000133,2026-05-06T04:22:18Z,Tax Invoice Download,Bescom,AMAZON_PAY_UPI,6225.1,REVERSED,CUST488857,Amazon Pay - Tax Invoice Download via Bescom
AP00000134,2026-04-16T06:19:08Z,Customer Support Chat,BigBasket,EMI,9254.82,PENDING,CUST214077,Amazon Pay - Customer Support Chat via BigBasket
AP00000135,2026-04-03T22:39:44Z,Dispute Resolution,Bookmyshow,NETBANKING,543.16,FAILED,CUST767279,Amazon Pay - Dispute Resolution via Bookmyshow
AP00000136,2026-02-27T15:11:36Z,Subscription AutoPay,BigBasket,AMAZON_PAY_WALLET,4050.4,REVERSED,CUST987463,Amazon Pay - Subscription AutoPay via BigBasket
AP00000137,2026-04-12T03:09:15Z,Split Bills,Practo,AMAZON_PAY_UPI,9385.17,REFUNDED,CUST264080,Amazon Pay - Split Bills via Practo
AP00000138,2026-01-22T10:07:24Z,Invoice / Request Money,Practo,AMAZON_PAY_UPI,8425.58,REVERSED,CUST804908,Amazon Pay - Invoice / Request Money via Practo
AP00000139,2026-03-21T13:19:37Z,Merchant Onboarding,EatSure,NETBANKING,8490.76,REVERSED,CUST915882,Amazon Pay - Merchant Onboarding via EatSure
AP00000140,2026-05-15T05:01:00Z,Risk-Based Step-Up,Cleartrip,NETBANKING,6591.18,REFUNDED,CUST568492,Amazon Pay - Risk-Based Step-Up via Cleartrip
AP00000141,2026-05-25T14:53:11Z,Device Binding,EatSure,NETBANKING,2359.92,REFUNDED,CUST900656,Amazon Pay - Device Binding via EatSure
AP00000142,2026-04-12T02:51:28Z,Velocity Controls,Airtel,NETBANKING,680.47,SUCCESS,CUST475993,Amazon Pay - Velocity Controls via Airtel
AP00000143,2026-01-24T10:49:46Z,Refund SLA Tracking,Jio,EMI,416.07,SUCCESS,CUST236599,Amazon Pay - Refund SLA Tracking via Jio
AP00000144,2026-02-01T02:39:46Z,Reconciliation Reports,Jio,AMAZON_PAY_UPI,7522.32,SUCCESS,CUST496217,Amazon Pay - Reconciliation Reports via Jio
AP00000145,2026-03-26T05:43:50Z,Webhooks & Events,Tata 1mg,AMAZON_PAY_WALLET,9816.48,PENDING,CUST615763,Amazon Pay - Webhooks & Events via Tata 1mg
AP00000146,2026-02-11T19:17:57Z,API Rate Limits,Cleartrip,AMAZON_PAY_UPI,6107.73,FAILED,CUST364472,Amazon Pay - API Rate Limits via Cleartrip
AP00000147,2026-02-19T08:39:32Z,Sandbox Environment,ACT Fibernet,AMAZON_PAY_WALLET,5026.65,FAILED,CUST603429,Amazon Pay - Sandbox Environment via ACT Fibernet
AP00000148,2026-04-06T20:59:17Z,Compliance Reporting,Cleartrip,CARD_TOKEN,377.93,FAILED,CUST290941,Amazon Pay - Compliance Reporting via Cleartrip
AP00000149,2026-01-25T16:03:40Z,PCI-DSS Tokenization,Vodafone,NETBANKING,7922.53,PENDING,CUST377181,Amazon Pay - PCI-DSS Tokenization via Vodafone
AP00000150,2026-01-09T17:40:54Z,One-Click Checkout,Tata Power,NETBANKING,5218.79,REVERSED,CUST822184,Amazon Pay - One-Click Checkout via Tata Power
AP00000151,2026-05-05T11:21:48Z,Buy Now Pay Later,Bescom,CARD_TOKEN,3763.26,FAILED,CUST486866,Amazon Pay - Buy Now Pay Later via Bescom
AP00000152,2026-01-10T16:16:19Z,UPI Payments,Zomato,NETBANKING,1775.62,PENDING,CUST879715,Amazon Pay - UPI Payments via Zomato
AP00000153,2026-02-10T19:40:27Z,Recurring Payments,Domino's,CARD_TOKEN,7472.98,SUCCESS,CUST332403,Amazon Pay - Recurring Payments via Domino's
AP00000154,2026-04-08T19:41:02Z,Amazon Pay Wallet,BWSSB,EMI,8955.57,FAILED,CUST238436,Amazon Pay - Amazon Pay Wallet via BWSSB
AP00000155,2026-01-17T11:34:14Z,Send Money to Contacts,Swiggy,AMAZON_PAY_UPI,5674.97,SUCCESS,CUST418493,Amazon Pay - Send Money to Contacts via Swiggy
AP00000156,2026-03-20T15:10:08Z,Bill Payments,BWSSB,EMI,5894.44,FAILED,CUST314102,Amazon Pay - Bill Payments via BWSSB
AP00000157,2026-02-28T21:50:17Z,Mobile Recharge,Swiggy,AMAZON_PAY_WALLET,4513.57,PENDING,CUST166761,Amazon Pay - Mobile Recharge via Swiggy
AP00000158,2026-05-12T19:41:37Z,DTH Recharge,Bescom,CARD_TOKEN,570.69,SUCCESS,CUST960755,Amazon Pay - DTH Recharge via Bescom
AP00000159,2026-02-01T01:03:34Z,Insurance Premium Payments,ACT Fibernet,EMI,7337.15,REVERSED,CUST360568,Amazon Pay - Insurance Premium Payments via ACT Fibernet
AP00000160,2026-01-01T19:35:42Z,Credit Card Bill Payments,Swiggy,NETBANKING,2384.07,PENDING,CUST161215,Amazon Pay - Credit Card Bill Payments via Swiggy
AP00000161,2026-05-21T20:26:52Z,EMI Auto-Debit,Practo,AMAZON_PAY_WALLET,2002.99,REFUNDED,CUST737621,Amazon Pay - EMI Auto-Debit via Practo
